0	0	0.0703804
0	0.01	0.0960219
0	0.02	0.11226
0	0.03	0.127994
0	0.04	0.145798
0	0.05	0.166491
0	0.06	0.190288
0	0.07	0.21712
0	0.08	0.246741
0	0.09	0.278771
0	0.1	0.312718
0	0.11	0.347994
0	0.12	0.383933
0	0.13	0.419817
0	0.14	0.4549
0	0.15	0.488431
0	0.16	0.519685
0	0.17	0.547988
0	0.18	0.572744
0	0.19	0.593448
0	0.2	0.609708
0	0.21	0.621259
0	0.22	0.627962
0	0.23	0.629803
0	0.24	0.626895
0	0.25	0.619462
0	0.26	0.607826
0	0.27	0.592393
0	0.28	0.573633
0	0.29	0.552061
0	0.3	0.528215
0	0.31	0.502647
0	0.32	0.4759
0	0.33	0.448495
0	0.34	0.42092
0	0.35	0.393621
0	0.36	0.366999
0	0.37	0.341409
0	0.38	0.317149
0	0.39	0.294473
0	0.4	0.273589
0	0.41	0.254662
0	0.42	0.237823
0	0.43	0.223175
0	0.44	0.210793
0	0.45	0.200737
0	0.46	0.193051
0	0.47	0.187772
0	0.48	0.184931
0	0.49	0.184555
0	0.5	0.186666
0	0.51	0.191284
0	0.52	0.198422
0	0.53	0.208079
0	0.54	0.22024
0	0.55	0.234866
0	0.56	0.251884
0	0.57	0.27118
0	0.58	0.292594
0	0.59	0.315903
0	0.6	0.340825
0	0.61	0.366995
0	0.62	0.39398
0	0.63	0.421278
0	0.64	0.44831
0	0.65	0.474441
0	0.66	0.498993
0	0.67	0.521267
0	0.68	0.540564
0	0.69	0.556211
0	0.7	0.567601
0	0.71	0.574221
0	0.72	0.575675
0	0.73	0.571716
0	0.74	0.562264
0	0.75	0.547421
0	0.76	0.52747
0	0.77	0.50287
0	0.78	0.474234
0	0.79	0.442307
0	0.8	0.407925
0	0.81	0.37198
0	0.82	0.33537
0	0.83	0.298957
0	0.84	0.26353
0	0.85	0.229755
0	0.86	0.198139
0	0.87	0.168983
0	0.88	0.142337
0	0.89	0.118116
0	0.9	0.0973648
0.01	0	0.09045
0.01	0.01	0.0985698
0.01	0.02	0.110425
0.01	0.03	0.124955
0.01	0.04	0.142441
0.01	0.05	0.163114
0.01	0.06	0.18701
0.01	0.07	0.214017
0.01	0.08	0.243877
0.01	0.09	0.276209
0.01	0.1	0.310526
0.01	0.11	0.34626
0.01	0.12	0.382742
0.01	0.13	0.419258
0.01	0.14	0.455068
0.01	0.15	0.489405
0.01	0.16	0.521536
0.01	0.17	0.550773
0.01	0.18	0.576501
0.01	0.19	0.598197
0.01	0.2	0.615449
0.01	0.21	0.627966
0.01	0.22	0.635591
0.01	0.23	0.638292
0.01	0.24	0.636168
0.01	0.25	0.629425
0.01	0.26	0.618375
0.01	0.27	0.603423
0.01	0.28	0.585035
0.01	0.29	0.563718
0.01	0.3	0.540019
0.01	0.31	0.514501
0.01	0.32	0.487708
0.01	0.33	0.460172
0.01	0.34	0.432397
0.01	0.35	0.404838
0.01	0.36	0.37791
0.01	0.37	0.351983
0.01	0.38	0.327365
0.01	0.39	0.304324
0.01	0.4	0.28308
0.01	0.41	0.263808
0.01	0.42	0.246653
0.01	0.43	0.231723
0.01	0.44	0.219101
0.01	0.45	0.208853
0.01	0.46	0.201032
0.01	0.47	0.195678
0.01	0.48	0.192823
0.01	0.49	0.192501
0.01	0.5	0.194732
0.01	0.51	0.199534
0.01	0.52	0.206921
0.01	0.53	0.216887
0.01	0.54	0.22941
0.01	0.55	0.244444
0.01	0.56	0.261909
0.01	0.57	0.281676
0.01	0.58	0.303565
0.01	0.59	0.327348
0.01	0.6	0.352712
0.01	0.61	0.379281
0.01	0.62	0.406602
0.01	0.63	0.434142
0.01	0.64	0.46131
0.01	0.65	0.487451
0.01	0.66	0.511871
0.01	0.67	0.533858
0.01	0.68	0.552711
0.01	0.69	0.567753
0.01	0.7	0.578382
0.01	0.71	0.584102
0.01	0.72	0.584531
0.01	0.73	0.579448
0.01	0.74	0.5688
0.01	0.75	0.552727
0.01	0.76	0.531541
0.01	0.77	0.505733
0.01	0.78	0.475948
0.01	0.79	0.442958
0.01	0.8	0.407622
0.01	0.81	0.370849
0.01	0.82	0.333553
0.01	0.83	0.296599
0.01	0.84	0.260809
0.01	0.85	0.22689
0.01	0.86	0.195428
0.01	0.87	0.166933
0.01	0.88	0.141881
0.01	0.89	0.120957
0.01	0.9	0.105691
0.02	0	0.0991873
0.02	0.01	0.101742
0.02	0.02	0.110186
0.02	0.03	0.123034
0.02	0.04	0.139744
